Content,Link,Stats,Type
"The new urban development offers 125 units of high-end residential apartments comprising of one-, two- and three-bedroom floor plans and town home options. The mixed-use project includes 14,000 square feet of on-site, street-level retail, 7,000 square feet of office space and a 385-space concrete parking garage. Apartments are appointed with high-end finishes, such as 10’ to 11.5’ ceilings, quartz countertops in kitchens and baths, stainless steel appliances, and spacious balconies for every unit.
Amenities include a modern, heated outdoor pool with a lounging deck, fountain, bocce court, grill area, expansive club house and fitness center. The sustainable design features include Green Development Initiatives with energy-efficient windows, additional insulation, HVAC with internet-enabled thermostats and LED lighting and EV charging stations in the garage.
The high-profile project is located on N. Highland Avenue, a half block from Ponce de Leon Avenue in the popular Poncey-Highland neighborhood.",https://www.gilbaneco.com/project/675-n-highland-avenue-mixed-use-development/,"Client Name: Abraham Properties
Project Name: 675 N. Highland Avenue Mixed-Use Development
Location: Atlanta, GA
Architect: Lord Aeck Sargent
Size: 300,000 SF; 125 units
Date Completed: December 2016 (21 months)
Type of construction: New
Delivery method: CM at Risk/GMP
Sustainable Features: Green Demolition
																					Energy-efficient windows, Insulation, HVAC, LED lighting
																					EV Charging Stations in Parking Garage",hotel-residential
"The new urban development offers 125 units of high-end residential apartments comprising of one-, two- and three-bedroom floor plans and town home options. The mixed-use project includes 14,000 square feet of on-site, street-level retail, 7,000 square feet of office space and a 385-space concrete parking garage. Apartments are appointed with high-end finishes, such as 10’ to 11.5’ ceilings, quartz countertops in kitchens and baths, stainless steel appliances, and spacious balconies for every unit.
Amenities include a modern, heated outdoor pool with a lounging deck, fountain, bocce court, grill area, expansive club house and fitness center. The sustainable design features include Green Development Initiatives with energy-efficient windows, additional insulation, HVAC with internet-enabled thermostats and LED lighting and EV charging stations in the garage.
The high-profile project is located on N. Highland Avenue, a half block from Ponce de Leon Avenue in the popular Poncey-Highland neighborhood.",https://www.gilbaneco.com/project/675-n-highland-avenue-mixed-use-development/,"Client Name: Abraham Properties
Project Name: 675 N. Highland Avenue Mixed-Use Development
Location: Atlanta, GA
Architect: Lord Aeck Sargent
Size: 300,000 SF; 125 units
Date Completed: December 2016 (21 months)
Type of construction: New
Delivery method: CM at Risk/GMP
Sustainable Features: Green Demolition
																					Energy-efficient windows, Insulation, HVAC, LED lighting
																					EV Charging Stations in Parking Garage",hotel-residential
"Flats East Bank Development consists of a three-story, 545-car parking garage, a 22-story office building complex to house tenants including Ernst & Young, Tucker Ellis & West, CBRE, and a six-story Aloft Hotel. Gilbane’s Cleveland District office is also headquartered in the new tower.  The transit-oriented design connects the public rail system, Waterfront Line, to the complex for easy access to downtown locations and the FirstEnergy Stadium, home of the Cleveland Browns football team.
Gilbane completed extensive preconstruction services which included procurement and diversity outreach, value engineering, constructability reviews, and estimating services. Diverse and small business participation goals were exceeded.
Gilbane directed construction of the Flats East Bank Development on a tight site in an urban environment with many constraints, including adjacent facilities, limited lay-down areas, and a high volume of vehicular and pedestrian traffic. To manage this complexity, we developed and implemented site-specific Logistics and Traffic Control Plans. To minimize disruptions to the surrounding area, Gilbane constructed a concrete Jersey barrier with a chain link fence around the construction site, and coordinated with adjacent building managers and local authorities regarding all lane closures and changes to traffic flow.
Whenever possible, Gilbane arranged for prefabrication of project components to eliminate much of the on-site work such as welding, reduce the number of workers on site, improve quality, and enhance field safety. Prefabricated items included the unitized curtain wall panels; concrete column reinforcement; large sheet metal ductwork and pipe risers; structural stud framing walls for the hotel; and others. The unitized curtain wall was prefabricated and assembled in Columbia, South America. This required close coordination of material procurement, shipping of glass tiles from the US to Columbia, fabrication, unit assembly, shipping from port to port, trucking to the jobsite, and hoisting to the building floors for installation.",https://www.gilbaneco.com/project/flats-east-bank-development/,"Client Name: Flats East Bank Development
Project Name: Flats East Bank Development
Location: Cleveland, OH
Architect: AECOM
Size: 854,500 Square Feet
Date Completed: May 2013
Type of construction: New
Delivery method: Design-Build
Professional Services: Commercial/Corporate
																					Energy/LEED Certified
																					Hotel/Residential
																					Retail
																					Transportation
Sustainable Features: Target LEED Silver Certification
																					Rain-absorbing green roof
																					Heat-reflective white thermoplastic polyolefin roof systems
																					Daylight harvesting
																					Energy-efficient HVAC design
																					Low-flow water fixtures
																					Water-efficient landscaping
																					Lighting and thermal comfort controls
																					Low-emitting materials
																					Bio-retention basin and underground water retention vault
Awards: 2014 Cleveland Engineering Society Award of Excellence for Design & Construction",hotel-residential
"Flats East Bank Development consists of a three-story, 545-car parking garage, a 22-story office building complex to house tenants including Ernst & Young, Tucker Ellis & West, CBRE, and a six-story Aloft Hotel. Gilbane’s Cleveland District office is also headquartered in the new tower.  The transit-oriented design connects the public rail system, Waterfront Line, to the complex for easy access to downtown locations and the FirstEnergy Stadium, home of the Cleveland Browns football team.
Gilbane completed extensive preconstruction services which included procurement and diversity outreach, value engineering, constructability reviews, and estimating services. Diverse and small business participation goals were exceeded.
Gilbane directed construction of the Flats East Bank Development on a tight site in an urban environment with many constraints, including adjacent facilities, limited lay-down areas, and a high volume of vehicular and pedestrian traffic. To manage this complexity, we developed and implemented site-specific Logistics and Traffic Control Plans. To minimize disruptions to the surrounding area, Gilbane constructed a concrete Jersey barrier with a chain link fence around the construction site, and coordinated with adjacent building managers and local authorities regarding all lane closures and changes to traffic flow.
Whenever possible, Gilbane arranged for prefabrication of project components to eliminate much of the on-site work such as welding, reduce the number of workers on site, improve quality, and enhance field safety. Prefabricated items included the unitized curtain wall panels; concrete column reinforcement; large sheet metal ductwork and pipe risers; structural stud framing walls for the hotel; and others. The unitized curtain wall was prefabricated and assembled in Columbia, South America. This required close coordination of material procurement, shipping of glass tiles from the US to Columbia, fabrication, unit assembly, shipping from port to port, trucking to the jobsite, and hoisting to the building floors for installation.",https://www.gilbaneco.com/project/flats-east-bank-development/,"Client Name: Flats East Bank Development
Project Name: Flats East Bank Development
Location: Cleveland, OH
Architect: AECOM
Size: 854,500 Square Feet
Date Completed: May 2013
Type of construction: New
Delivery method: Design-Build
Professional Services: Commercial/Corporate
																					Energy/LEED Certified
																					Hotel/Residential
																					Retail
																					Transportation
Sustainable Features: Target LEED Silver Certification
																					Rain-absorbing green roof
																					Heat-reflective white thermoplastic polyolefin roof systems
																					Daylight harvesting
																					Energy-efficient HVAC design
																					Low-flow water fixtures
																					Water-efficient landscaping
																					Lighting and thermal comfort controls
																					Low-emitting materials
																					Bio-retention basin and underground water retention vault
Awards: 2014 Cleveland Engineering Society Award of Excellence for Design & Construction",hotel-residential
"If ever a project incorporated multiple varieties of construction with both design and building proceeding at the same time, it is Moody Gardens. This project is a master planned multi-use 250-acre complex, which has been in continuous development for over 20 years. As part of a continuing alliance with Moody Gardens, Gilbane has provided design oversight and construction management services for the complex.
Gilbane has served as the construction manager on all phases of The Moody Gardens Complex. We have faced multiple unique situations with building on Galveston Island and have responded with workable solutions to successfully complete all projects. Such issues include: dealing with precast piles reaching 80’ depth; dewatering systems; building humidity issues; structural fill of 5’ – 7’ per building to raise above the acceptable sea level for flood insurance; water treatment facilities; and assuring wind load testing is performed on critical areas.
Phase III – Included the addition and renovation of the Hope Arena, conference center, pier and dock facility, 100-foot glass pyramid conservatory and tropical rain forest, 400-seat 3D I-Max theatre, visitors center and 300,000 gallon water treatment facility.
Phase IV – Included a new 100-foot glass pyramid housing a state-of-the-art aquarium with four major exhibits and an ocean theatre. The facility has a 1,000,000 gallon and three 250,000 gallon tanks housing hundreds of species of marine life and a new 100-foot glass pyramid discovery museum including a NASA exhibit and three I-Max ride theatres.
Phase V – The most recent $130 million phase included construction of a 128-room hotel expansion, a convention center expansion.
Other projects include:",https://www.gilbaneco.com/project/moody-gardens/,"Client Name: Moody Gardens
Project Name: Moody Gardens
Location: Galveston, TX
Architect: Morris Architects
Size: 1,332,000 Square Feet
Date Completed: September 2017
Type of construction: New/Renovation
Delivery method: CM - GMP
Awards: Best Project (Renovation / Restoration), ENR Texas & Louisiana",hotel-residential
"If ever a project incorporated multiple varieties of construction with both design and building proceeding at the same time, it is Moody Gardens. This project is a master planned multi-use 250-acre complex, which has been in continuous development for over 20 years. As part of a continuing alliance with Moody Gardens, Gilbane has provided design oversight and construction management services for the complex.
Gilbane has served as the construction manager on all phases of The Moody Gardens Complex. We have faced multiple unique situations with building on Galveston Island and have responded with workable solutions to successfully complete all projects. Such issues include: dealing with precast piles reaching 80’ depth; dewatering systems; building humidity issues; structural fill of 5’ – 7’ per building to raise above the acceptable sea level for flood insurance; water treatment facilities; and assuring wind load testing is performed on critical areas.
Phase III – Included the addition and renovation of the Hope Arena, conference center, pier and dock facility, 100-foot glass pyramid conservatory and tropical rain forest, 400-seat 3D I-Max theatre, visitors center and 300,000 gallon water treatment facility.
Phase IV – Included a new 100-foot glass pyramid housing a state-of-the-art aquarium with four major exhibits and an ocean theatre. The facility has a 1,000,000 gallon and three 250,000 gallon tanks housing hundreds of species of marine life and a new 100-foot glass pyramid discovery museum including a NASA exhibit and three I-Max ride theatres.
Phase V – The most recent $130 million phase included construction of a 128-room hotel expansion, a convention center expansion.
Other projects include:",https://www.gilbaneco.com/project/moody-gardens/,"Client Name: Moody Gardens
Project Name: Moody Gardens
Location: Galveston, TX
Architect: Morris Architects
Size: 1,332,000 Square Feet
Date Completed: September 2017
Type of construction: New/Renovation
Delivery method: CM - GMP
Awards: Best Project (Renovation / Restoration), ENR Texas & Louisiana",hotel-residential
"Gilbane was selected as the preferred construction manager for the new mixed-use complex at 1440 Boulevard of the Arts in Rosemary Square in downtown Sarasota, Florida. This project has brought the visual and performing arts into an area needing redevelopment. Rosemary Square boasts a new hip urban lifestyle igniting further economic stimulation into downtown Sarasota. The project scope of work for the mixed-use development has provided four key components for this redevelopment:
Rosemary Square gives the Sarasota and the Rosemary District a very strong, needed economic boost by providing local jobs, pedestrian-friendly streets and additional parking to the growing developing area. The project complements and distinguishes it from other local neighborhoods within the surrounding downtown Sarasota area. This vision has provided a great opportunity for a vibrant urban neighborhood to live and work.",https://www.gilbaneco.com/project/rosemary-square-development/,"Client Name: Rosemary Square LLC
Project Name: Rosemary Square Redevelopment
Location: Sarasota, FL
Architect: Solstice Planning and Architecture
Size: 60,000 SF
Date Completed: September 2017 (24 months)
Type of construction: New
Delivery method: CM at Risk/GMP",hotel-residential
"Gilbane was selected as the preferred construction manager for the new mixed-use complex at 1440 Boulevard of the Arts in Rosemary Square in downtown Sarasota, Florida. This project has brought the visual and performing arts into an area needing redevelopment. Rosemary Square boasts a new hip urban lifestyle igniting further economic stimulation into downtown Sarasota. The project scope of work for the mixed-use development has provided four key components for this redevelopment:
Rosemary Square gives the Sarasota and the Rosemary District a very strong, needed economic boost by providing local jobs, pedestrian-friendly streets and additional parking to the growing developing area. The project complements and distinguishes it from other local neighborhoods within the surrounding downtown Sarasota area. This vision has provided a great opportunity for a vibrant urban neighborhood to live and work.",https://www.gilbaneco.com/project/rosemary-square-development/,"Client Name: Rosemary Square LLC
Project Name: Rosemary Square Redevelopment
Location: Sarasota, FL
Architect: Solstice Planning and Architecture
Size: 60,000 SF
Date Completed: September 2017 (24 months)
Type of construction: New
Delivery method: CM at Risk/GMP",hotel-residential
"Gilbane is providing construction management services for Red Property Management for a new office building development in the heart of downtown Sarasota on the corner of Ringling Boulevard and Golf Street.
The project is a four-story mixed-use building designed by Apex-Suarez of Sarasota. One of the features of the design is an exterior rain screen system which will provide a textured wood panel aesthetic, along with extensive glass and stucco finishes, creating a very modern, signature office building.
The project will include extensive site development on the adjacent property at 200 Washington Street consisting of parking and storm water management for the overall site.
Sabal Palm Bank will occupy the first and second floors of the new building, and it will provide them with a new headquarter office, retail banking location with two drive-through lanes. Gilbane Building Company will relocate their Sarasota office to third floor of the building.",https://www.gilbaneco.com/project/sabal-palm-plaza/,"Client Name: Red Property Management
Project Name: Sabal Palm Plaza
Location: Sarasota, FL
Architect: Apex-Studio Suarez
Size: 32,000 Square Feet
Date Completed: September 2017
Type of construction: New
Delivery method: CM at Risk/GMP",hotel-residential
"Gilbane is providing construction management services for Red Property Management for a new office building development in the heart of downtown Sarasota on the corner of Ringling Boulevard and Golf Street.
The project is a four-story mixed-use building designed by Apex-Suarez of Sarasota. One of the features of the design is an exterior rain screen system which will provide a textured wood panel aesthetic, along with extensive glass and stucco finishes, creating a very modern, signature office building.
The project will include extensive site development on the adjacent property at 200 Washington Street consisting of parking and storm water management for the overall site.
Sabal Palm Bank will occupy the first and second floors of the new building, and it will provide them with a new headquarter office, retail banking location with two drive-through lanes. Gilbane Building Company will relocate their Sarasota office to third floor of the building.",https://www.gilbaneco.com/project/sabal-palm-plaza/,"Client Name: Red Property Management
Project Name: Sabal Palm Plaza
Location: Sarasota, FL
Architect: Apex-Studio Suarez
Size: 32,000 Square Feet
Date Completed: September 2017
Type of construction: New
Delivery method: CM at Risk/GMP",hotel-residential
