Title,Service,Locations,Description,Features,Awards
"Las Ventanas Al Paraiso, A Rosewood Resort",Architecture,Dallas/Mexico City,"To design an intimate luxury resort, melding the stark desert environment and Pacific Ocean with the rich history, culture and climate of the Baja peninsula.
Blurring the line between indoors and out, the HKS-led design team took its cues from the site's natural surroundings on the Sea of Cortez&#8217;s white sand beaches and mountainous desert elements. Stairs, bridges and curving paths connect low-rise, angular buildings with white stucco walls. The suites’ full-height doors of wood and glass frame expansive ocean views. The 18-acre property responds to regional influences found along the Pacific Coast of Baja California Sur as its five dozen suites seamlessly melt into the sloping terrain. Each guest suite focuses on water for sight, sound and feel, creating a guest experience of complete escape and exclusivity.
The resort's thoughtfully considered programmatic design elements ensured that back-of-house functions are almost completely concealed from guest circulation areas, lending a feel of considerable guest privacy and intimacy. The project carried home-grown impact too, as local artisans and workers were hired for the construction and craftsmanship of the resort.","280,000 square feet
61 guest suites with adobe fireplaces & private patios
16 condos
Infinity pools and swim-up bars
Personal butler service
Wine room
Golf course
Wedding and conference venues","1999 American Society of Landscape Architects, National Merit Award"
MGM National Harbor,Architecture/Mixed-Use/Sustainable Design/LINE,"Dallas/Washington, D.C.","A preference for “white architecture” was established to respect the marble structures in the District of Columbia and the client's vision called for a landmark tower inspired by the Washington Monument.
MGM National Harbor draws inspiration from the strength and timeless qualities of the capital's architectural legacy and achieves its monumental scale through a single architectural gesture: a massive plinth, or base, which supports the primary program elements above. HKS designers organized it along a central spine – like the National Mall – connecting one sequence of guest experiences to the next. Guests enter the property through an oval conservatory bathed in natural light. The 80-foot tall conservatory is lined with restaurants and high-end shopping.
Rising 24-stories, the hotel tower is the project's landmark. Its angled and knife-like edge recalls the strong vertical form of the Washington Monument. The tower is rotated 33 degrees from the project's axis to be parallel with the National Mall, deepening the relationship between the site and the heart of the District.
A landscaped roof deck provides a gathering space and an expansive area for indoor-outdoor dining. A digital façade, cantilevered off the point of the plinth, adds visual energy and brand identity. A bold, sweeping roof embraces the plaza to connect guests to unobstructed and panoramic views of the Potomac River and the Capital.
MGM National Harbor is a premier entertainment destination and the first luxury gaming resort in the Capital Region, employing 3,700 people. The hotel reached capacity 242 nights during its first year of operation and totaled more than 6 million visitors.","1.7 Million square feet
125,000 square foot casino
234 guest rooms, 74-suite hotel
27,000 square foot spa
3,000-seat theater
18,000 square feet of retail space
15 dining options
27,000 square feet of meeting space
5,000-car parking garage
LEED Gold certified","2018 Merit Award for Excellence in Design. AIA Maryland
2018 Illumination Award of Merit, Illumination Engineering Society
2017 NAIOP DC|MD Chapter, Award of Excellence, Best Master Plan/Mixed-Use Project"
Four Seasons Hotel and Residences São Paulo at Nações Unidas,Mixed-Use/Architecture,Miami/Dallas,"Design the first Four Seasons hotel and private residences in Brazil and bringing yet another high-end development to the fast-growing Parque da Cidade section of São Paulo.
The 29-floor Four Seasons São Paulo will have two restaurants, a world-class spa, a unique indoor-outdoor pool and event spaces suitable for events of all types. It will boast 240 hotel rooms and 84 residences, all sitting atop six floors of below-grade parking. At the top of the building is a residents-only lounge that offers expansive views of the city.
Opening in late 2018, this location will provide Brazil with the country's first up-close look at the five-star elegance, style and hospitality that the Four Season's brand is known for around the world.",,
Crowne Plaza Ningbo Xiangshan Sea View,Architecture,Dallas/Shanghai,"To create a unique destination resort that will serve as a springboard for future development in the Banbianshan Leisure Resort Area.
The central hotel is surrounded by lush landscaping, sand beach and a collection of multiple sparkling pools. The ultimate guest experience is available in one of the two hilltop villas that provide guests with 270-degree views, private terraces and private pools. The design approach was the result of the challenging site and its extremely deep beach and steep, rocky mountainside. The project celebrates this unique and inspiring environment with a curving and swooping design that captures the ocean views.
This destination resort offers serene views and delightful seafood to attract tourism and conference business from Shanghai and Ningbo, making it an iconic fixture of the Banbianshan Leisure Resort Area.","675,000 square feet
240-key beach hotel
55-key mountain hotel
Conference center
Multiple food and beverage venues
Two hilltop villas
Spa",
Four Seasons Resort Sharm El Sheikh,Architecture,Dallas/San Francisco/London,"Design a five-star luxury resort in the vernacular of traditional hillside towns of the Mediterranean and Middle East, taking advantage of the steeply sloping site and its dramatic views of the Red Sea.
Forms and details reminiscent of the hillside towns of Northern Africa inspired the design, which incorporates the use of powerful domes and Islamic style arches built of simple brick, plaster and wood, giving strength to the architectural forms. The hotel villas are integrated into the steep slopes of the Sinai Peninsula to evoke an ancient hillside village. Courtyards cooled by fountains and shaded by canopies of tall palms provide gateways to the guestrooms, all of which have alluring sea views. Each guestroom is designed as a suite with a separate bedroom, parlor space, full-sized terraces and an over-sized full bath. Designers planned each building's orientation, location, size and openings to increase natural light and cross ventilation. Thick masonry walls radiate heat back to the outside in the evening when the air cools. Shading techniques, deep recesses and awnings shield windows, doors and outdoor patios from direct sunlight. Originally opened in 2002, designers completed a 90-key expansion with 21 villas, an entertainment village and conference center in 2012. HKS and Brayton Hughes Design Studios collaborated to work on the resort architecture and interiors for both the original and expansion projects.
As one of the first luxury resorts built on Egypt's Sinai Peninsula, the Four Seasons Sharm El Sheikh set the tone resorts that followed. Sharm El Sheikh is often called the “City of Peace” for the large number of international peace conferences hosted there.","185,000 square feet
200 guestrooms
21 villas
Guest suites with private plunge pools
Five restaurants
Entertainment village
Conference center
Luxury spa, pools and tennis courts
Sweeping Red Sea views",
The Farm at Crossroad Commons,Architecture/Mixed-Use/Urban Design/Research/Sustainable Design,Dallas/New York,"With its ideal climate and soil conditions, Lake County enjoys a long and productive agricultural tradition. However, development patterns in recent decades have converted this vital resource into buildings, pavement and soil depleting monoculture crops. HKS’ design intends to unlock the site's potential and return it to its roots, evoking Northwest Indiana's rich agricultural heritage.
Through sophisticated integration of ecology and history, innovative performance-based design and advanced environmental systems, HKS proposed an ambitious masterplan development that reconnects the community to one of its most valued resources: the land.
The Farm at Crossroad Commons is Merrillville lost and re-found.  HKS’ vision for the masterplan is grounded in deep appreciation and understanding of the community's land, culture, history, and ecology.
This is manifest in HKS, OJB and Sherwood's response to the regional drivers of the area's food desert, degraded hydrology, and need for community connectivity. The agricultural history, quality of soils, and the educational value of community farming based in polycultures are the framework for the plan and program.
The site creates a raw interface between the architecture that equally supports the people and the agriculture of the region that has historically provided for them. 
Abundant amenities provide health, wellness, and education through diversified agricultural production and livestock. Farm-to-table restaurants tap produce grown on the farm, and the microbrewery and distillery use hops and wheat grown just a stone's throw away. The visitor's center and greenhouse, equestrian arena, farmer's market and more offer a variety hands-on activities and engagement.
The meeting and event conference center situated at the project's heart knits the project into one cohesive development featuring uniquely Indiana, one-of-a-kind offerings that celebrate the community and bring the region together as visitors experience a holistic style of living.
The arts and cultural programming provide community engagement and educational opportunities as well, with an art gallery and a traveling art exhibit, environmental urban art, and a living artist studio as an integral feature of the development.
The Farm provides economic opportunities for a new generation of farmers and access to local and healthy foods that decrease the region's reliance on imported and processed foods – a major contributor to health problems like obesity and diabetes.
The estimated $350 million private-public investment project is expected to create 600 construction jobs, 1,000 permanent jobs and nearly $100 million in new local, regional and state tax revenues over 10 years.","Working, education-based 27 acre farm
83,500-square-foot meeting, conference and event center
108,000 square foot office building
Four hotels totaling 520 guest rooms
18 townhomes and 32 condominiums
Visitors center and year-round greenhouse
Art gallery and working art/music studios; Artist-In-Residence Program
Two farm-to-table restaurants, microbrewery and distillery
1,300 spaces of underground parking
Equestrian center, horse riding and bicycle trails
24,000 square feet of outdoor event space
Children’s park
Wellness center",2019 AIA Dallas Unbuilt Juror Citation Award
Omni Nashville Hotel,Architecture/Sustainable Design,Dallas,"Seamlessly connect a new high-rise hotel to the Country Music Hall of Fame and the surrounding district, both filled with their own distinct cultures and character.
The Omni Nashville incorporates energized streetscapes to minimize the “big-box” development feel. Grand sidewalks, native landscaping, vintage lighting and pedestrian-oriented facades create a warm, street focused atmosphere. A modern expression of Nashville's spirit, the hotel's exposed steel, soaring glass facades and regionally sourced limestone are incorporated with a strong sense of human scale. The overall mass is articulated into a series of distinct sections that successfully break down the overall scale of the hotel's 17 stories. Four of the hotel's floors directly connect to the Country Music Hall of Fame and Museum. The Omni's other attractions range from an in-house “honky-tonk” to a local coffeehouse that invites passerby to come in and explore the hotel. The hotel's sustainable measures include harvested groundwater for landscape irrigation, plumbing fixtures that cut water consumption by nearly 30 percent, extensive usage of regionally sourced and recycled materials, low-VOC paints and coatings, and sustainably harvested wood. HKS was joined on the project by Earl Swensson Associates and Tuck-Hinton Architects. Looney &amp; Associates was responsible for interior design.
Omni Nashville resides at the forefront of the city's urban expansion and provides a catalyst for the city's future development and growth. The design leverages the Hall of Fame's 200,000 square-foot expansion to anchor the hotel to the heart of the Music City, and star-studded amenities and proximity to a wealth of local attractions make this hotel an attractive location for event planners, travelers and locals alike. This project was awarded a LEED Silver certification.",,
Omni Louisville Hotel,Architecture,Dallas,"Design an urban hotel that supports Louisville's growing reputation as a top convention destination and revitalize an under-utilized downtown block to stimulate the local economy. Contextually, the hotel's design should reflect the essence, charm and heritage of Kentucky.
Built on the site of the former Louisville Water Co., the Omni Louisville Hotel weaves the city's historic past within a comfortable setting adorned with touches of modern luxury. The lobby is designed to resemble a deconstructed bourbon barrel to immerse guests in Kentucky's rich bourbon heritage upon arrival. A prominent landmark against the Louisville skyline, the intersection of hotel and residential towers are uniquely expressed as bold overlapping architectural forms. The ground level is designed to embrace the neighborhood with vibrant spaces for both locals and hotel guests. Restaurant tenants can open doors and walls to provide guests with indoor or outdoor dining options. The hotel is a seven-minute walk to the Louisville Convention Center and a seven-mile drive from the airport, making it a major draw for meeting planners. The Omni's amenities include a rooftop pool and bar with downtown skyline views, bourbon tasting room, a speakeasy with regulation-size bowling lanes and a neighborhood market with groceries, hot foods, a taco truck, brick-oven pizza and craft beer.
The LEED Silver certified Omni Hotel has energized and activated an under-utilized area of downtown in addition to creating 500 permanent jobs. More than just a travel destination, it incorporates a hotel, residential and neighborhood amenities into a vertically integrated urban mixed-use development.","612 guest rooms and suites
225 luxury apartments
30 stories
Short walk to the Kentucky International Convention Center
70,000 square-foot meeting and event space
Lobby gallery featuring local artists
Four dining options, including rooftop pool café
Speakeasy with four-lane bowling alley
20,000 square-foot urban lifestyle food hall and grocery
Spa, fitness center
Rooftop pool and bar
Bourbon tasting room/retailer
Neighborhood market
LEED Silver certified","2018 Citation for Exterior Design Award, AIA Kentucky"
"The Ocean Club, a Four Seasons Resort",Architecture,Dallas/Miami,"The Ocean Club expansion and renovation focused on revitalizing the resorts’ historic Hartford Wing – a private estate until 1962 – while retaining its original classical architectural character.
The resort's extensive five-month renovation included transforming the Hartford Wing's exterior courtyard, interior redesign and expansion of all 55 guest rooms, plus the expansion of bathrooms and balconies or terraces with lush garden and ocean-facing views. The project's new amenities added a 125-foot infinity-edge pool with 180-degree Atlantic Ocean views. Other amenities include a poolside bar and grill, spa and fitness center, restaurant, retail and a refresh of existing hotel and public gathering spaces.
HKS collaborated with interior designer Jeffrey Beers of Jeffrey Beers International on the Hartford Wing restyled guest room renovation. The design team drew inspiration from the resort's original Bahamian British Colonial architectural aesthetic, adding crisp and contemporary wood and stone materials layered with Caribbean-hued fabrics, textures and finishes to convey a refined yet comfortable and informal island spirit.
The resort's modern guest room refresh lends a deep sense of relaxation and serenity, balanced by new amenities that beckons guests to explore.
The transformation raised the bar for the luxury guest experience in the Caribbean while retaining The Ocean Club's rich history, sense of privacy and coveted beachfront exclusivity.","26-acre resort
55 guest rooms refresh and expansion
Spa and fitness center
Jean Georges Vogerichten Dune restaurant and retail building
Infinity-edge pool and pool bar and grill
Outdoor garden event space",
KPMG Plaza at Hall Arts,Architecture/Urban Design/Sustainable Design,Dallas,"To contribute to the Arts District through a thoughtful design response that elegantly integrates the public realm with arts culture and progressive workplace design.
The mixed-use site incorporates the 500,000 square-foot KPMG Plaza office building, which features 20,000-square-feet of upscale and fast/casual dining and the Texas Sculpture Walk at Hall Arts. The Sculpture Walk is a civic gesture to the citizens of Dallas and hosts unique artwork from local Texas artists. The lobby's interior emphasizes a connection between pedestrians and the artwork of world-renowned artist Richard Long through natural lighting and visual transparency. The ground floor restaurants face the Winspear Opera House's Sammons Park and the Meyerson Symphony Center, while the building's signature views overlook the Arts District and the city's urban core.
From top to bottom, KPMG Plaza at Hall Arts enhances the progressive architectural vision for the Dallas Arts District with a simple yet elegant aesthetic that unites commerce and culture. The lobby provides a transparent connection to and from the Arts District and its focal points create a dramatic visual for passersby that encourages pedestrians to engage with the building and the Sculpture Walk.","500,000 square feet
LEED Gold certified
20,000-square feet of restaurant space
Elevated roof terrace above street-level restaurants
Texas Sculpture Walk, an urban arts plaza
Below-grade parking for KPMG and the Arts District",2015 Dallas Business Journal Topping Out Award
