Title,Location,Link,Factors,Content
LaGuardia Airport Terminal B,"New York, New York, USA",https://www.hok.com/design/service/architecture/laguardia-airport-terminal-b/,"LEED CERTIFICATION: LEED NC-Silver anticipated
span style=""font-size: 11px; font-weight: bold; letter-spacing: 1px; text-transform: uppercase; color: #000000; font-family: helvetica, arial, sans-serif;"">SIZE
1.3 million sq. ft. / 120,700 sq. m.
span style=""font-size: 11px; font-weight: bold; letter-spacing: 1px; text-transform: uppercase; color: #000000; font-family: helvetica, arial, sans-serif;"">SERVICES
Architecture
Interior Design
Master Planning
Structural Engineering
Sustainable Design","LaGuardia Airport’s new Terminal B will provide a state-of-the-art passenger terminal and modern New York travel experience. 
The 35-gate terminal will replace the existing 1964 Central Terminal Building and optimize use of the airport’s limited airside and landside real estate.
Designed to transform LaGuardia Airport into a single, unified hub, the new facility will feature expanded transportation access and best-in-class passenger amenities. A phased construction approach allows it to be built on the constrained site with minimal impact to existing operations.
To optimize airfield performance and efficiencies, the team devised an island-concourse gate configuration. A pair of pedestrian bridges connects the headhouse to the island concourses. These iconic bridges traverse over active taxilanes and offer sweeping views of the airfield and Manhattan skyline.
The interior will feature intuitive wayfinding, ensuring the efficient movement of passengers through the terminal. Other enhancements will include an abundance of natural light at all levels, short curb-to-gate walking distances and regional cuisine and concession offerings.
The eastern concourse of the new Terminal B opened on Dec. 1, 2018. Featuring local and New York-themed restaurants and retail shops, family-friendly spaces and an indoor park, the new concourse has soaring, 55-foot-high ceilings and floor-to-ceiling windows that allow ample natural light to fill the space. Charging stations are placed throughout the gate seating areas with free, high-speed Wi-Fi. Family amenities include an airport-themed children’s play area.
By moving the terminal closer to Grand Central Parkway, the project will expand the airport taxiways by more than two miles and help reduce airport ground delays.
The project is expected to achieve LEED Silver certification for sustainable design and will open in phases. 
Under a 35-year lease agreement with the Port Authority of New York and New Jersey, LaGuardia Gateway Partners (LGP) will design, build, manage and maintain LaGuardia’s Terminal B. LGP includes Vantage Airport Group, Skanska ID, Meridiam and JLC Infrastructure for development and equity investment; Skanska-Walsh as the design-build joint venture; HOK and WSP for architecture and engineering; and Vantage Airport Group for airport operations and management.
HOK is also providing master planning advisory services for LaGuardia in collaboration with the Port Authority and Delta Air Lines, which operates Terminal C and D on the airport’s east end."
ADNOC Headquarters,"Abu Dhabi, UAE",https://www.hok.com/design/service/architecture/adnoc-headquarters/,"LEED CERTIFICATION: LEED-NC Gold

SIZE: 1.9 million sq. ft. / 175,300 sq. m.
75 stories

SERVICES: Architecture
Facility Programming
Landscape Architecture
Master Planning

AWARDS: Council on Tall Buildings & Urban Habitat (CTBUH), Award of Excellence Winner - Best Tall Building 300-399m

American Institute of Architects Maryland - Design Excellence Awards, Honor Award
Architizer A+ Awards - Commercial, Office Building High-Rise, Jury Award
Middle East Architect Awards - Highly Commended, Commercial Project of the Year","The new headquarters for Abu Dhabi National Oil Company symbolizes the company’s importance in the development of the United Arab Emirates.
Located on one of Abu Dhabi’s most prominent urban sites, the tower will create a new city landmark while articulating ADNOC’s role as one of the world’s most dynamic, influential petroleum companies. The proximity of the Emirates Palace Hotel adds to the site’s exclusivity, with the tower serving as the primary view for VIPs and patrons at the Emirates Palace complex.
The structure’s design maximizes views of the Arabian Gulf and takes advantage of the site’s prime location through careful massing of the tower and placement of the surrounding courts, plazas and landscape.
HOK’s design combines majestic spaces and high-quality materials. To maximize flexibility, offices are organized with a modular approach that is interchangeable and repeatable.
The tower’s north-south orientation minimizes the ground-level footprint, leaving ample room for landscaped amenity space. A rectilinear podium extends from the base of the tower. A curvilinear auditorium adjacent to the tower acts as a contrasting sculptural element.
Extending south of the tower structure, the three-level rectangular podium houses employee service retail space, the service loading area, a heritage museum, and the main lobby and circulation space. The roof of the rectangular podium extends south across the access road to connect to a new mosque. "
Mercedes-Benz Stadium ,"Atlanta, Georgia, USA",https://www.hok.com/design/service/architecture/mercedes-benz-stadium/,"LEED CERTIFICATION: LEED Platinum

SIZE: 2 million sq. ft. / 185,806 sq. m.
Seats: 71,000 for NFL games /
32,456 for MLS games

SERVICES: Architecture
Engineering
Facility Programming
Interior Design
Landscape Architecture
Master Planning
Sustainable Design

AWARDS: World Stadium Congress - Stadium of the Year
The Stadium Business Awards - Venue of the Year
American Institute of Architects Central States - Large Commercial Category, Merit Award
National Council of Structural Engineers Associations - Excellence in Structural Engineering Awards - Halo Board at Mercedes-Benz Stadium","The client challenged HOK’s team to innovate on every level for the design of this new 71,000-seat stadium for the NFL’s Atlanta Falcons and the MLS’s Atlanta United FC.
The design establishes a new architectural icon for Atlanta and a new benchmark for sports venues while creating a fan experience that is second to none. Wallpaper named it one of the 
top buildings that shaped the world’s culture
 in 2017. 
Conventional retractable roofs feature utilitarian, sliding panels. For the design of Mercedes-Benz Stadium, the team found inspiration in the way sunlight passes through the oculus in the roof of the Pantheon in Rome. Made up of eight triangular ETFE (ethylene tetrafluoroethylene) “petals” that move together along 16 individual tracks, the semi-transparent roof opens and closes like the aperture of a camera.
As a continuation of the roof, the ETFE facade features angular, wing-like exterior sections. The transparency creates a 16-story “window to the city” that draws in daylight and offers panoramic views of Atlanta’s skyline.
Wrapping the perimeter of the oval-shaped roof is a high-definition, 360-degree halo video board that gives fans an immersive, theater-in-the round experience. The one-of-a-kind video board is the largest in any of the world’s stadiums (nearly six stories high and 1,075-feet around) and provides clear views from every seat while preserving the beauty of the roof. An additional video display—a 100-foot-high mega column—is wrapped with a 3-D video board, and there are 2,000 TVs throughout the venue. More than 4,000 miles of integrated fiber-optic cable supports the technology-driven, interactive game-day experience inside Mercedes-Benz Stadium
A wide variety of seating options provide fans with different ticket prices, vantage points and levels of service. Amenities include a technology lounge and the 100 Yard Club, a row of concession stands that is bookended by bars and that stretches as long as the field itself.
The stadium can be easily reconfigured to accommodate games for the Falcons, Atlanta United and world-class events including the Super Bowl, NCAA Men’s Basketball Final Four and major concerts. Retractable seats surrounding the field and a motorized curtain system help soccer fans get close to the action. An entirely digital stadium platform creates opportunities to display custom content for each event.
Designed for sustainability, Mercedes-Benz Stadium is North America’s first 
LEED Platinum professional sports stadium
. A 600,000-square-foot cistern helps recapture and reuse rainwater. This helps protect the neighborhood from flooding and provides rainwater to irrigate trees throughout the city. The site has more than 4,000 solar PV panels. The focus on sustainability extends into the community through connections to public transit and the creation of urban farming areas and open recreation spaces.
In addition to serving as an anchor for the downtown tourist and entertainment district, the stadium will catalyze changes in surrounding neighborhoods. District-scale thinking enables the building to share resources with nearby developments.
HOK collaborated on the design with tvsdesign, Goode Van Slyke Architecture and Stanley Beaman & Sears. HOK’s structural engineers collaborated with BuroHappold, with WSP providing MEP and fire protection engineering."
LG Science Park,"Seoul, South Korea",https://www.hok.com/design/service/architecture/lg-science-park/,"LEED CERTIFICATION: LEED Platinum anticipated

SIZE: 11.9 million sq. ft. / 1,100,000 sq. m.

SERVICES: Architecture
Interior Design
Laboratory Planning
Landscape Architecture
Master Planning","The team designed LG Science Park as a next generation research campus that promotes collaboration and innovation among scientists from multiple disciplines including electronics, chemistry, nanotechnology, fabrication and life sciences.
The 20-building complex serves as the world research headquarters for the global consumer electronics brand of LG Group and a hub for science and technology in South Korea. Expected to achieve LEED Platinum certification, the campus will eventually accommodate up to 25,000 people.
HOK’s design mirrors LG’s aspirations to create “advanced technology, beautifully designed.” Individual buildings exhibit the same elegance as the company’s consumer products, which feature streamlined, elegant exteriors wrapped around cutting-edge technology.
Emphasizing LG’s minimalist approach to form, the post-and-beam, frame-based construction establishes a timeless design. Transparent ground-level spaces seamlessly connect the buildings to a new east-west linear park with plazas and gardens open to LG’s employees and the community so they appear to grow out of the landscape. This is especially evident at the lower level canteen and dining halls, which captivate guests with their access to natural light and garden views.
Though the campus is unified, every component is distinct. Each LG business group has its own main entrance and lobby. Natural stone frames the building elevations, which are in-filled with glass panels. This creates a variety of façade treatments that minimize heat gain and facilitate views to neighboring parks.
Building materials, which are as classic and durable as LG’s consumer products, include glazing, natural stone cladding and aluminum mullions. The pale natural stone facades of the research buildings contrast with the dark-clad Integrated Support Centre (ISC), which is located at the heart of the campus and houses a welcome center and employee amenities."
NewYork-Presbyterian David H. Koch Center ,"New York, New York, USA",https://www.hok.com/design/service/architecture/newyork-presbyterian-david-h-koch-center-/,AWARDS: ENR New York - Best Healthcare Project,"The team designed NewYork-Presbyterian’s new ambulatory care center in Manhattan to provide exceptional patient care now and into the future.
The first filter for each design decision was how it would minimize stress and improve the patient experience. The building also needed to be flexible to adapt to future changes in technology and patient care. 
Home to a wide range of ambulatory care services, the facility includes outpatient surgery, endoscopy, interventional radiology, diagnostic imaging, radiation oncology, infusion and digestive disease treatments. 
With its glass-encapsulated wood screen facade and transparent lower floors, the building presents a warm, hospitable face to the community. At the street-level entrance, canopies and a private drive-through welcome guests.            
A 40-foot-high, daylit main lobby offers patients and their families respite from the congested city. The light-filled interiors continue up through each floor’s sky lobbies and primary circulation areas. Within the main lobby, a dramatic staircase invites guests up to a second-story, living room-like space with quiet zones, lounges and dining areas.
Use of natural stone materials and wood for interior touchpoints in the lobby creates a timeless design aesthetic that continues throughout the building. The wood complements the wooden micro slats that filter sunlight through the energy-efficient facade.      
Even with the sophisticated medical equipment, clinical floors have a warm, welcoming feeling. Natural light and views to the outside help patients intuitively understand where they are and how to move through the space. 
Locating the infusion and radiation oncology services on the light-filled 4th floor instead of below grade, as in many hospitals, helps transform the patient experience. Instead of descending to a basement treatment area, the patient ascends onto a floor with access to daylight and city views. Designed with a hospitality feeling, private rooms and community spaces help patients feel comfortable.   
To help the hospital adapt the building to its future needs, the design incorporates a long-span structural system and tall floor-to-floor heights. Columns are placed to provide the most open, flexible space. Each clinical procedure floor has a standard layout and rooms. Removable exterior panels on the facade will enable NewYork-Presbyterian to move new medical equipment into the building as it becomes available. 
The team designed the building for a minimum of LEED Silver certification. Sustainable strategies include a green roof, high-performance building skin and high-efficiency mechanical systems. The distinctive exterior facade, which consists of triple-paned insulated glazing with an encapsulated wood screen, significantly reduces solar glare, heat gain and the need for solar or privacy shading. The resilient design enables the building to continue operating during an extreme weather event or disruption to the city power. 
The collaborative design team included HOK as architect and interior designer (public spaces), Ballinger as medical architect and interior designer (clinical spaces), and Pei Cobb Freed & Partners as consulting architect for the building envelope and lobby. 
 "
The Francis Crick Institute,"London, UK",https://www.hok.com/design/service/architecture/the-francis-crick-institute/,"BREEAM CERTIFICATION&nbsp;: BREEAM Excellent

SIZE: 980,000 sq. ft. / 91,000 sq. m.

SERVICES: Architecture
Interior Design
Laboratory Planning
Site Planning

AWARDS: em>R&D Magazine - Lab of the Year
London First - Londons Greatest Research & Development Prize Winner
London First - Investment in Londons Future Award Winner
European Healthcare Design Awards - Health and Life Sciences Design Award
RTPI National Awards for Planning Excellence - Excellence in Planning to Create an Economically Successful Place
and Silver Jubilee Cu","Six visionary medical research and educational organizations partnered to form the Francis Crick Institute, Europe’s largest and most ambitious biomedical research facility.
The partnership includes the Medical Research Council, Cancer Research UK, the Wellcome Trust, University College London, Imperial College London and King’s College London.
Located in central London, the steel, glass and terra-cotta clad building occupies a full city block and creates strong architectural links to historic local buildings. Large cantilevered bay windows and tall glass atria reduce the building’s impact at street level and maintain natural light in workspaces and public areas. To reduce its visible mass, one-third of the structure is below ground, while the curved roof presents a gentle face to the community.
Breaking with traditional governance and tenure structures, the Crick represents a major paradigm shift for biomedical research in the global scientific community. Its researchers are free to follow their own instincts and direction, with no departments or tenure. Almost no idea is off limits, and there is only limited intellectual property. Discoveries are shared openly with the rest of the world. 
To promote this innovative approach, the design creates easily adaptable and multidisciplinary research environments. The building can flex to meet its inhabitants’ continuously changing needs.
The concepts of visibility and collaboration are central to the design. The building is composed of four blocks separated by a main east-west atrium and the smaller north-south transverse atrium. The main atrium’s cathedral-like scale is interrupted by the transverse atria where, on each level, one-third of the floor area is left open to create a double-height relationship with the adjacent floorplate and provide strong visual connections between floors. The junction of the two atria is dedicated to informal collaboration, breakout and administrative support spaces—all connected by a continuous open stair.
The linear arrangement of lab neighborhoods optimizes visual permeability, offering views across the atrium into the write-up areas and through the primary labs. These lab neighborhoods can support rapid reconfiguration as research programs change. A centralized service distribution system enables a kit-of-parts approach in which predetermined components can be plugged into service spines in different combinations.
The scope and range of the Crick’s core facilities, which house services and technologies used by the entire research community, are unique. The proportion of shared core areas to primary and secondary lab facilities is nearly 50 percent—significantly higher than what is found at most research facilities.
The building site is in the heart of central London’s existing scientific community, where it anchors a local hub of research facilities. These proximities fuel collaboration and innovation.
Among the technical challenges was designing for sensitive lab equipment on an urban site. Special design measures provide equipment bases that achieve near-zero vibration criteria.
The building was certified BREEAM Excellent for environmental sustainability.
HOK served as architect and ‎lead designer responsible for the project’s overall design concept, interior design, lab planning and landscape architecture. PLP collaborated with HOK in shaping the building’s distinctive form and striking architectural expression. 
R&D Magazine named the Francis Crick Institute its 
2017 Laboratory of the Year
."
BP Center for High-Performance Computing,"Houston, Texas, USA",https://www.hok.com/design/service/architecture/bp-center-for-high-performance-computing/,"SIZE: 110,000 sq. ft. / 10,220 sq. m.

SERVICES: Architecture
Construction Administration
Facility Programming
Interior Design
Mechanical/Electrical/Plumbing Engineering
Structural Engineering

AWARDS: American Institute of Architects Houston - Honor Award
Texas Society of Architects (AIA Texas) - Design Award
Houston Business Journal Landmark Awards - Special Project
Rethinking the Future Award - First Place in Commercial Built
ASHRAE Technology Awards - Commercial Buildings, New","BP’s global facility processes vast amounts of geophysical data and seismic images that enable its scientists to explore what lies beneath the earth’s surface.
 
Located on BP’s campus in the Houston Energy Corridor, the Center for High-Performance Computing houses one of the world’s largest supercomputers for commercial research. HOK’s team collaborated with BP’s top geologists and scientists to ensure that the high-performance workplace supports its world-class data center.
The building’s low-rise profile stands out among the campus high-rises. Its fully glazed, undulating north facade captures attention while welcoming visitors with an approachable scale. To develop the exterior, the team abstracted and pixelated images of geophysical strata produced by the computers inside. These images were translated into the ripples of the glass facade and the patterns on the concrete panels. 
Servers and mechanical systems are oriented to the south of the site and encased in the opaque, pre-cast concrete shell while the fully glazed office spaces are located to the north. The design layers and stacks the building’s functions, with the materiality communicating the programs of the internal spaces. 
Optimal solar orientation and high-performance mechanical and electrical systems provide a power usage effectiveness (PUE) of 1.35, which is well below the typical data center average of 1.85. 
The resilient design strategies respond to BP’s need for the center to continue operating during manmade or natural disasters. Designed to resist winds of up 130 mph, the facade is the first line of defense. The second layer of protection is inside, where reinforced CMU walls define the data center and protect the computers. The high-performance computing spaces are equipped with a steeper roof slope than the rest of the building, ensuring that water drains away from the equipment. In the case of a water outage, an underground reservoir can assist with cooling the space and equipment for up to 16 hours. "
PIF Tower,"Riyadh, Saudi Arabia",https://www.hok.com/design/service/architecture/pif-tower/,"LEED CERTIFICATION: LEED Gold anticipated

SIZE: 1.9 million sq. ft. / 182,130 sq. m.
80 stories

SERVICES: Architecture
Visual Communications

AWARDS: International Property Awards - Best Commercial High-rise, Architecture
em>ConstructionWeek - Kingdom of Saudi Arabia Awards, Tower Project of the Year","Soaring 1,260 feet above the surrounding cityscape, the 80-story PIF Tower is one of the world’s most high-tech supertall buildings.
When it opens, the PIF Tower will position Riyadh as the financial and economic center of the Middle East. It is the centerpiece and tallest structure within the King Abdullah Financial District, a mixed-use development that creates a world-class financial hub for the Kingdom of Saudi Arabia. 
Together with its integrated facade system, the iconic geometry of the building contributes to a highly functional yet strikingly original form on Riyadh’s skyline. The tower’s crystalline facade references the crystals found in wadis—dry ravines located in the Saudi Arabian desert. This transparency creates an open grid and provides access to natural light within the office tower.
A high-performance enclosure incorporates solar shading, photovoltaic solar collection, facade lighting and an innovative facade access system. This integrated solution reinforces the overall building design and geometry while minimizing solar gain and internal cooling loads and reducing HVAC requirements. Energy is reclaimed through a photovoltaic array installation on the tower’s roof.
The modular plan creates a highly efficient interior environment with clear-span floor plates that maintain flexibility and adaptability across every level of the structure. Combining public circulation and private amenity space, the podium structure at the base includes an auditorium, cafeteria and two-story atrium.
An innovative vertical transportation system integrates one of the world’s largest installations of the TWIN® elevator system with double-deck shuttles. Two elevator cabs travel independently—one above the other—in the same shaft.
HOK designed the tower, which is expected to achieve LEED Gold certification, in collaboration with Omrania & Associates."
UPMC Vision and Rehabilitation Hospital,"Pittsburgh, Pennsylvania, USA",https://www.hok.com/design/service/architecture/university-of-pittsburgh-medical-center/,"SIZE: 410,000 sq. ft. / 38,090 sq. m.

SERVICES: Architecture
Facility Programming
Interior Design
Landscape Architecture
Master Planning
Medical Planning
Sustainability","Scheduled to open in 2021, this building will provide nine stories of clinical and research space as part of UPMC’s $2 billion investment in three new technology-enhanced, specialty hospitals.
HOK is designing the UPMC Vision and Rehabilitation Hospital for patients in the Pittsburgh region and beyond who need physical rehabilitation and those who have diseases of the eye or vision impairment.
As a new Pittsburgh landmark on a prominent site along the Boulevard of the Allies, this state-of-the-art facility will position UPMC at the global forefront of rehabilitation and ophthalmic research and care. Clinicians, researchers, educators and industry partners will come together here to accelerate the process of translating research into innovative treatments for patients.
Physical cues will help patients and visitors navigate from their point of entry throughout the hospital. Strategies include providing proper lighting levels related to contrast and brightness, specifying materials and textures that aid people with canes, and using sound as a wayfinding tool. Chris Downey, AIA, one of the world’s few blind architects, is advising the team on how to design the space to best support the visually impaired.
The materials used for the building facade—an energy-efficient patterned glass, warm terra-cotta and brick—respect the architecture of Mercy’s campus and the neighborhood. The landscape acts as an extension of the existing hospital. Visitors are greeted by clear views into the building, signaling that this is a destination for healing, an incubator for medical advancements and a hub for biomedical research.
The building will include an innovative, low-vision, clinic-gym hybrid that anchors the program with an interactive healing center, exam rooms, therapy stations and a central gym. There is a fully mocked-up apartment and street lab where patients can go through simulations that teach them critical life skills. Training ramps and stairs in a rooftop healing garden give patients a safe environment in which to prepare for real-life experiences."
Little Caesars Arena ,"Detroit, Michigan, USA",https://www.hok.com/design/service/architecture/little-caesars-arena/,"LEED CERTIFICATION: LEED Silver Certification

SIZE: 819,000 sq. ft. / 76,090 sq. m.
Seats: 18,500

SERVICES: Architecture
Facility Programming
Interior Design
Landscape Architecture
Master Planning
Sustainable Design

AWARDS: Sports Business Awards - Sports Facility of the Year","When they are in use, arenas and stadiums are the most electric spaces in a city.
Yet even the most active of these facilities often lie dormant for days at a time between games and other events. Little Caesars Arena, home to the NHL’s Detroit Red Wings and NBA’s Detroit Pistons, solves this “all-or-nothing” paradox with a deconstructed design that engages the community 365 days a year.
Inside-out approach to space:
 Key to the design is the “Via,” the arena’s innovative central concourse enclosed by a translucent tetrafluoroethylene (ETFE) roof structure. During the day, the Via serves as a light-filled, temperature-controlled public space shared by restaurants and shops that open to both the street and the arena’s interior. At night, light and energy generated from activity inside the Via project outward onto the community, drawing new visitors to the space.
Connecting to a revitalized Detroit:
 Little Caesars Arena anchors The District Detroit, a 50-block area of commercial, entertainment and residential buildings that connect downtown and midtown into one contiguous, walkable area. The arena’s design contributes to the density and energy of the district with restaurants, shops and commercial workspaces (including Google’s Detroit offices) housed within its brick-and-glass perimeter spaces. An outdoor events plaza flanked by a large LED video board provides additional use beyond the arena’s walls.
Heightened energy, intimate views:
 The steep, below-grade seating bowl embraces the iconic qualities of historic arenas, with improved sight lines and dense “walls” of people energizing the event and giving fans the best views. An array of diverse premium seating offerings, including gondola suites suspended from the roof, complement this intimacy."
