Titles,Location,Client,Type,Info,Leader,Introduction
Capital One,"Toronto, ON",Capital One,"Interiors
New Projects
Office","Floors: 5
Completed: 2018","Barry Nathan: Associate Director | Practice Lead, Interior Design
Jane Juranek: Associate - Manager, Interior Design","IBI Group completed the interior design of Capital One's new Canadian head office, located in the heart of Toronto's financial district. Challenged to develop a design concept that would support the fintech firm's collaborative culture, (including a desire for the untethered use of technology) as well as attract top, young tech talent, IBI's unique ideas for each of the office's floors delivered the winning ""In-spiration"" for the progressive client."
The Private Residences at Hotel Georgia,"Vancouver, BC",Delta Land Development Ltd. and Hotel Georgia Developments Inc.,"Architecture
High Rise Residential
Interiors
Living+
Mixed Use
Office
Residential","Storeys: 48
Size: 162 Metres
Completed: 2011","David Thom: President
Roxana Forliti: Associate | Manager, Architecture","IBI Group acted as prime consultant for Vancouver's finest luxury hotel residence, The Private Residences at Hotel Georgia. At the epicenter of Vancouver's business district, The Private Residences mix a unique energy with the rich history of the City."
Little Mountain,"Vancouver, BC",Holborn Properties Ltd. ,"Architecture
Master Planning
Mid Rise Residential
Placemaking
Planning &amp; Urban Design
Public Outreach","Area: 15 acres
Completed: 2017","Stuart Jones: Director, Landscape Architect
Martin Bruckner: Director, Architect",IBI Group was the prime master planning and urban design consultant for the high-profile Little Mountain development in the City of Vancouver.
St. Paul’s Hospital at Station Street Master Plan & Rezoning,"Vancouver, BC",Providence Health Care,"Approvals
Land Use Planning
Master Planning
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Public Outreach
Rezoning and Approvals",Completion: Ongoing,"Stuart Jones: Director, Landscape Architect
David Thom: President
Tony Gill: Global Director, P3 Buildings","With a proven track record of revitalizing brownfield sites, IBI's rezoning and master plan for the new St. Paul's Hospital at Station Street integrates a state-of-the-art hospital and research facility with hospitality and commercial uses, and makes room for future expansion."
Metrotown Sears,"Burnaby, BC",Concord Pacific ,"Architecture
High Rise Residential
Living+
Master Planning
Mixed Use
Placemaking
Planning &amp; Urban Design
Residential
Retail","Complete: Master Plan
Ongoing: Architecture
Towers: 6
Size: 2.6m sq ft
Units: 2,800","Stuart Jones: Director, Landscape Architect
Gwyn Vose: Director | Sr. Practice Lead, Architecture","Metrotown Sears is envisioned to become a pedestrian-oriented, transit-connected community that reflects the strong urban design principles and unique urban form of the city of Burnaby. IBI Group developed the master plan, led the rezoning process, directed the consultant team, and is now providing architecture services for the first phase of the community."
Southgate City,"Burnaby, BC",Ledingham McAllister Properties,"Architecture
High Rise Residential
Living+
Master Planning
Mixed Use
Placemaking
Planning &amp; Urban Design
Residential
Retail","Complete: Master Plan
Ongoing: Architecture
Area: 52 Acres
Towers: 20","Martin Bruckner: Director, Architect
Stuart Jones: Director, Landscape Architect","Southgate City is a 52-acre landmark community coming to Burnaby, BC, shaped by magnificent glass towers and lush garden homes. IBI Group developed the master plan, led the rezoning process, directed the consultant team, and is now providing architecture services for the first phases of the community."
Gilmore Place,"Burnaby, BC",Onni Group of Companies,"Architecture
High Rise Residential
Living+
Master Planning
Mixed Use
New Projects
Placemaking
Planning &amp; Urban Design
Retail
Transportation Planning","Area: 12 Acres
Master Plan Completed: 2017
Architecture Status: Ongoing","Martin Bruckner: Director, Architect
Stuart Jones: Director, Landscape Architect","IBI Group provided master planning and architecture services for the design of Gilmore Place, a mixed-use TOD community set to establish a new level of urban design in Burnaby, BC."
Ryerson University Jarvis Street Residence,"Toronto, ON",MPI Group Inc. for Ryerson University,"Architecture
Landscape Architecture
Living+
New Projects","Size: 193,534 sq ft
Storeys: 30
Units: 191
Beds: 593
Completed: 2018","Drummond Hassan: Director | Sr. Practice Lead, Architecture","IBI Group provided architecture services for a new, modern student residence in the heart of downtown Toronto, offering accommodation for 600 Ryerson University students."
West Pender Place,"Vancouver, BC",Reliance Holdings,"Architecture
High Rise Residential
Living+
Mixed Use","LEED: Silver
Storeys: 36
Units: 144
Completed: 2011","Martin Bruckner: Director, Architect
Jeff Christianson: Director | Sr. Practice Lead, Architecture","IBI Group provided architectural services for the design of West Pender Place, bringing true modernist architecture to Coal Harbour."
River Green Village,"Richmond, BC",Aspac Developments Ltd.,"Architecture
BIM / 3D Visualization
High Rise Residential
Interiors
Land Use Planning
Living+
Master Planning
Mid Rise Residential
Mixed Use
New Projects
Planning &amp; Urban Design
Residential
Traffic Engineering","LEED: Silver
Size: 11 Acres
Completed: 2018","Gary Andrishak: Director
Martin Bruckner: Director, Architect
Heidi Rose: Associate | Manager, Interior Design","IBI Group provided master planning, architecture and interior design services for River Green Village, a significant waterfront community along Richmond's Fraser River."
The Hazelton Hotel & Residences,"Toronto, ON",Hazelton Residences Inc.,"Architecture
Hospitality
Living+
Mid Rise Residential
Residential","Size: 163,000 sq ft
Storeys: 9
Completed: 2017","Sol Wassermuhl: Director
Gianni Ria: Director | Sr. Practice Lead, High Rise Residential","IBI Group provided architecture services for the design of The Hazelton Hotel & Residences, Toronto's first five-star luxury hotel offering 77 beautifully designed rooms and 18 exceptional suites evoking grandeur with a splash of 1940's-inspired Hollywood glitter."
