Description,Info,Link,Location,Name,Type
"Production Interface Facility - a 412,700 square foot office building that also includes:  Laboratory Spaces, Conference Center, Cafeteria , Medical Offices, Computer Laboratory, and Common Space.
Public Interface Facility - a 137,157 square foot office with Laboratory Spaces, Training Offices, 400 Seat Auditorium, Visitor Lobby and Display Space, Central Badging Office, and Common Space.
The Turner Logistics team took an initial furniture budget of $13.7 million and reduced it to less than $9 million, without changing any product or the aesthetic on this project.","Client: Lawler-Wood Group
Location: Oak Ridge,  TN
Attributes: Federal, Government, LEED Certified, Green Building, Commercial, Turner Logistics: Procurement Services, Design+Build, Tennessee",http://www.turnerconstruction.com/experience/project/1461/bwxt-y-12-production-and-public-interface-facilities,"Oak Ridge, TN",BWXT Y-12 Production and Public Interface Facilities,government
"The Sustainment Center of Excellence Headquarters supports Fort Lee's role as a logistics center for the United States' Armed Forces.
The building is a four-story, 230,000 square foot facility that includes administrative space, open and closed office environnments, a canteen, training areas and capabilities for telecommunications and A/V equipment.
The two main entrances of the headquarters are centrally located along the north and east facades, creating a symmetrical appearance to the facility. The facility incorporates many sustainable features and is LEED® Silver Certified.","Client: U.S. Army Corps of Engineers
Location: Fort Lee,  VA
Attributes: Building Information Modeling (BIM), Federal, Government, Low-Rise, LEED Certified, Green Building, Commercial, Design+Build, Virginia",http://www.turnerconstruction.com/experience/project/2A4/sustainment-center-of-excellence-scoe-headquarters,"Fort Lee, VA",Sustainment Center of Excellence (SCOE) Headquarters,government
"As part of the Two Court Square project, Turner upgraded the subway station that connects through the basement of the Two Court Square building. Work included installation of escalators, ADA compliant elevators, interior and exterior stairs, a glass enclosure, expansion of the Flushing-bound 7 line platform and refurbishment of historical features.","Client: Citigroup
Location: New York
Attributes: Government",http://www.turnerconstruction.com/experience/project/2E8B/court-square-station,"New York,  USA",Court Square Station,government
"Eglin Air Force Base Interim Clinic is a 3,100 square foot clinic for the Seventh Special Forces Group Facility located on Eglin Air Force Base. The medical clinic was designed and built to meet LEED Certification standards, on an eight-month timeline.
The project also involved civil, structural foundations, metal building, demountable partitions, mechanical, medical equipment, electrical and telecommunications.

","Client: U.S. Army Corps of Engineers
Location: Eglin AFB,  FL
Attributes: Federal, Government, Healthcare, Green Building, Hospital, Design+Build, Florida",http://www.turnerconstruction.com/experience/project/2CB3/eglin-air-forcebase-7th-special-forces-group-interim-clinic,"Eglin AFB, FL","Eglin Air ForceBase, 7th Special Forces Group Interim Clinic",government
"The Paso Del Norte Port of Entry Project is situated on the United States' side of the US/Mexico border and serves as a checkpoint to monitor travel into the United States.
The scope of work included construction of a 85,000 square foot administrative building  with improved security features, communications, site utilities, canine storage, asphalt/concrete paving and license plate readers on a 50-acre site. The project received a LEED certification rating for sustainability.","Client: General Services Administration
Architects: Moore Nordell Kroeger Architects, Rosser International, Inc.
Location: El Paso,  TX
Attributes: Building Information Modeling (BIM), Federal, Government, LEED Certified, Green Building, Design+Build, Texas",http://www.turnerconstruction.com/experience/project/2A9/paso-del-norte-port-of-entry,"El Paso, TX",Paso Del Norte Port of Entry,government
"
","Client: The State of Florida Department of Management Services
Architect: Akel Logan Shafer Architects and Pl
Location: Miami,  FL
Attributes: Government, Interiors, Police/Fire Station, Florida",http://www.turnerconstruction.com/experience/project/254D/department-management-services-florida-highway-patrol-troop-e-headquarters,"Miami, FL",Department Management Services -  Florida Highway Patrol Troop E Headquarters,government
"The five-story, 191,000 square foot B.F. Sisk Courthouse serves as the Federal Building for Fresno. Scope of work included courtrooms, judge's chambers, support offices, updated technology and infrastructural upgrades. The project utilized a high volume of recycled materials.","Client: Administrative Office of the Courts
Architect: SmithGroupJJR
Location: Fresno,  CA
Attributes: Building Information Modeling (BIM), Courthouse, Government, Justice, LEED Certified, Green Building, California",http://www.turnerconstruction.com/experience/project/13C2/bf-sisk-courthouse,"Fresno, CA",B.F. Sisk Courthouse,government
"The 60,000 square foot Chancery Upgrade to the Embassy of Singapore called for interior/ exterior renovations and features infrastructural upgrades, finishes and hand woven carpets imported from Thailand, New Zealand and Nepal.
The exterior scope of work included the construction of a guardhouse, a mail sorting facility, retaining walls, gates and landscaping.
.","Client: Republic of Singapore
Architect: CallisonRTKL
Location: Washington,  DC
Attributes: Government, Interiors, Washington, D.C.",http://www.turnerconstruction.com/experience/project/492/embassy-of-the-republic-of-singapore,"Washington, DC",Embassy of the Republic of Singapore,government
"Turner served as the design/builder with SSOE for the construction of a 28,000 square foot aircraft maintenance and support facility for KC-135 refueling aircraft. The project featured the construction of a single bay hangar, offices and a firewater pump station with high-density foam.","Client: United States Navy
Architect: SSOE Group
Location: Mount Clemens,  MI
Attributes: Federal, Government, Airport, Aviation / Transportation, Michigan",http://www.turnerconstruction.com/experience/project/1185/selfridge-air-national-guard-fuel-maintenance-facility,"Mount Clemens, MI",Selfridge Air National Guard Fuel Maintenance Facility,government
"The Olathe Police Headquarters project included an addition to the original, 32,000 square foot facility. Work included upgrades to the original building, which remained operational, and necessary sitework. The addition is a 42,000 square foot building including a sally port, men's and women's locker rooms, investigation and patrol spaces, a small crime lab area, as well as property storage. The project consists of two command centers, which  include extensive audio/visual components.
The project incorporated numerous green features, including geothermal heating/cooling loop, a white roof and a rain garden.   Photo Credit: Bill Manginelli Productions.","Client: The City of Olathe, Kansas
Architect: Hoefer Wysocki Architecture
Location: Olathe,  KS
Attributes: Government, Interiors, Police/Fire Station, Kansas",http://www.turnerconstruction.com/experience/project/5E3/olathe-police-headquarters,"Olathe, KS",Olathe Police Headquarters,government
"This project consists of a 265,000 square foot juvenile detention facility along with a 364,600 square foot court tower. The project was built on an 11.5 acre urban site.
The detention center portion of the project is primarily a masonry structure with bar joists installed in masonry bearing walls; the court tower is a structural steel/ metal deck design with precast concrete and masonry exterior walls. The court tower includes 32 court rooms, judge’s chambers, magistrate offices, and a public café.","Client: Ozanne Construction Company
Architect: Ralph Tyler Companies
Location: Cleveland,  OH
Attributes: Government, Justice, Juvenile Detention, LEED Certified, Green Building, Ohio",http://www.turnerconstruction.com/experience/project/1038/cuyahoga-county-juvenile-justice-center,"Cleveland, OH",Cuyahoga County Juvenile Justice Center,government
"The USPS-Flat Sequencing System (FSS) Building Expansion project is a 103,000 square foot expansion of a United States Postal Service mail sorting and distribution facility. The expansion is a one-story, pre-engineered metal building with ten loading docks, nine gas-fired rooftop units, three air compressors, an added computer room and restrooms, fiber and copper backbones for communications, and indoor and outdoor security cameras.  The slab-on-grade, on which the U.S. Postal Service was to place three additional automated mail sorting lines, was the most critical aspect of the project as the new mail sorting equipment required an extremely flat and level slab.
","Client: United States Postal Service
Architect: CEC
Location: Trenton,  NJ
Attributes: Federal, Government, Industrial / Manufacturing, New Jersey",http://www.turnerconstruction.com/experience/project/7CB/united-states-postal-service-flat-sequencing-system-building-expansion,"Trenton, NJ",United States Postal Service Flat Sequencing System Building Expansion,government
"
","Client: The City of Sugar Land, Texas
Architects: Brown Reynolds Watford Architects, KSA
Location: Sugar Land,  TX
Attributes: Government, Police/Fire Station, LEED Certified, Green Building, Texas",http://www.turnerconstruction.com/experience/project/2705/sugar-land-fire-station-7,"Sugar Land, TX",Sugar Land Fire Station #7,government
"The Food and Drug Administration Office of the Commissioner / Office of Regulatory Affairs  building is the fourth project that Turner has completed for the organization and the third on their consolidated campus in White Oak, Maryland.
The office building is 500,000 square feet, with 1,200 offices, conference rooms, a 600-seat auditorium, a press room, and a 12,000 square foot kitchen/serving area. The building contains an extensive A/V system for the auditorium, press room, and conference rooms.
The building is divided into four wing sections, subdivided by three large open atriums. Pedestrian bridges connect the wings and there are also two sky bridges and an underground tunnel connecting to the other FDA buildings.","Client: U.S. General Services Administration
Architects: KlingStubbins, CallisonRTKL
Location: Silver Spring,  MD
Attributes: Building Information Modeling (BIM), Federal, Government, LEED Certified, Green Building, Maryland",http://www.turnerconstruction.com/experience/project/164/food-and-drug-administration-office-of-the-commissioner-office-of-regulatory-a,"Silver Spring, MD",Food and Drug Administration Office of the Commissioner / Office of Regulatory A,government
"Phase I of the Miami Correctional Facility project included construction of seventeen buildings and renovation of two. Additional and upgraded spaces include an administration building, an offender services building, six medium housing units housing 1,424 inmates each, a recreation building, utility building, special housing building, an industries building, a kitchen and food services building, a minimum housing facility for 200 inmates and a warehouse.","Client: Indiana State Office Building Commision
Architects: Phillips Swager Associates, Schenkel-Shultz Architecture
Location: Bunker Hill,  IN
Attributes: Government, Indiana",http://www.turnerconstruction.com/experience/project/148B/miami-correctional-facility-phase-i,"Bunker Hill, IN",Miami Correctional Facility Phase I,government
"The Jail Annex is approximately 23,000 square feet and holds 96 beds. The annex is connected to an underground tunnel which provides access to courthouse. Adjacent to the Annex is a new Sheriff’s Administration and intake center which Turner also built.
Direct supervision is achieved via a central control room with sight lines into four identical pods. Each houses twelve two-bed cells: six cells atop six cells with a mezzanine.
","Client: Cabarrus County, North Carolina
Architect: Ware Bonsall Architects
Location: Concord,  NC
Attributes: Government, North Carolina",http://www.turnerconstruction.com/experience/project/8AC/cabarrus-county-detention-center-annex,"Concord, NC",Cabarrus County Detention Center Annex,government
"Miami Correctional Facility phase II work included the addition of 13 buildings and more than 350,000 square feet for housing 1,600 beds.","Client: Indiana State Office Building Commission
Architects: Paul I Cripe, Phillips Swager Associates, Schenkel-Shultz Architecture
Location: Bunker Hill,  IN
Attributes: Government, Indiana",http://www.turnerconstruction.com/experience/project/149B/miami-correctional-facility-phase-ii,"Bunker Hill, IN",Miami Correctional Facility Phase II,government
